"시점","항목",계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
"1980","합계:면적 (ha)",1233038,2553,3502,-,-,-,-,-,-,182422,56397,77724,175422,169041,208949,200036,154955,2037
"1980","합계:생산량:조곡 (톤)",5311406,12528,12191,-,-,-,-,-,-,867537,160237,283424,889916,898948,1034542,574512,571737,5834
"1980","논벼:면적 (ha)",1219841,2487,3502,-,-,-,-,-,-,179383,55987,76924,173188,166899,207594,199050,154017,810
"1980","논벼:10a당 생산량 (kg)",433,496,348,-,-,-,-,-,-,480,285,366,511,535,496,288,370,443
"1980","논벼:조곡:생산량 (톤)",5279051,12333,12191,-,-,-,-,-,-,860401,159712,281879,884415,892515,1030178,572380,569454,3593
"1980","밭벼:면적 (ha)",13197,66,-,-,-,-,-,-,-,3039,410,800,2234,2142,1355,986,938,1227
"1980","밭벼:10a당 생산량 (kg)",245,296,-,-,-,-,-,-,-,235,128,193,246,300,322,216,243,183
"1980","밭벼:조곡:생산량 (톤)",32355,195,-,-,-,-,-,-,-,7136,525,1545,5501,6433,4364,2132,2283,2241
"1981","합계:면적 (ha)",1223892,2552,-,-,-,-,-,3432,-,178978,55483,78361,175486,168827,209219,196222,153563,1769
"1981","합계:생산량:조곡 (톤)",7148703,13769,-,-,-,-,-,20051,-,988176,291357,437468,1062175,1098218,1226431,1129803,874888,6367
"1981","논벼:면적 (ha)",1212258,2437,-,-,-,-,-,3432,-,176814,55288,77780,173598,166555,207427,195320,152715,892
"1981","논벼:10a당 생산량 (kg)",587,550,-,-,-,-,-,584,-,555,526,560,608,655,588,577,572,450
"1981","논벼:조곡:생산량 (톤)",7113701,13414,-,-,-,-,-,20051,-,981797,290943,435865,1055921,1090762,1220650,1127429,872859,4010
"1981","밭벼:면적 (ha)",11634,115,-,-,-,-,-,-,-,2164,195,581,1888,2272,1792,902,848,877
"1981","밭벼:10a당 생산량 (kg)",301,309,-,-,-,-,-,-,-,295,212,276,331,328,323,263,239,269
"1981","밭벼:조곡:생산량 (톤)",35002,355,-,-,-,-,-,-,-,6379,414,1603,6254,7456,5781,2374,2029,2357
"1982","합계:면적 (ha)",1188073,2079,3467,3732,2118,-,-,-,-,176369,55822,77278,174841,169090,208505,168525,144524,1723
"1982","합계:생산량:조곡 (톤)",7307855,11173,20250,20559,13015,-,-,-,-,1057544,309448,482570,1153961,1141296,1305937,1004922,780489,6691
"1982","논벼:면적 (ha)",1175964,2044,3467,3719,2105,-,-,-,-,174734,55681,76649,172728,166530,206090,167556,143549,1112
"1982","논벼:10a당 생산량 (kg)",618,542,584,552,616,-,-,-,-,602,555,627,664,681,630,598,542,480
"1982","논벼:조곡:생산량 (톤)",7272837,11084,20250,20541,12970,-,-,-,-,1052672,309049,480771,1147390,1133795,1298620,1001870,778490,5335
"1982","밭벼:면적 (ha)",12109,35,-,13,13,-,-,-,-,1635,141,629,2113,2560,2415,969,975,611
"1982","밭벼:10a당 생산량 (kg)",289,254,-,135,349,-,-,-,-,298,283,286,311,293,303,315,205,222
"1982","밭벼:조곡:생산량 (톤)",35018,89,-,18,45,-,-,-,-,4872,399,1799,6571,7501,7317,3052,1999,1356
"1983","합계:면적 (ha)",1228481,1928,3443,4039,2172,-,-,-,-,176184,55846,79224,179490,171048,211193,189766,152386,1762
"1983","합계:생산량:조곡 (톤)",7607541,9897,20196,23451,12277,-,-,-,-,997414,297216,504335,1189682,1137058,1342991,1177206,889237,6581
"1983","논벼:면적 (ha)",1219645,1886,3443,4031,2157,-,-,-,-,175419,55778,78895,178082,169166,209230,188935,151518,1105
"1983","논벼:10a당 생산량 (kg)",622,518,587,581,567,-,-,-,-,567,533,638,666,669,639,622,585,481
"1983","논벼:조곡:생산량 (톤)",7582857,9774,20196,23429,12238,-,-,-,-,995234,297026,503364,1185359,1131374,1337769,1174638,887136,5320
"1983","밭벼:면적 (ha)",8836,42,-,8,15,-,-,-,-,765,68,329,1408,1882,1963,831,868,657
"1983","밭벼:10a당 생산량 (kg)",279,293,-,275,261,-,-,-,-,285,279,295,307,302,266,309,242,192
"1983","밭벼:조곡:생산량 (톤)",24684,123,-,22,39,-,-,-,-,2180,190,971,4323,5684,5222,2568,2101,1261
"1984","합계:면적 (ha)",1230861,1311,3356,3992,2124,-,-,-,-,175848,55937,79675,181148,172077,211904,190703,151412,1374
"1984","합계:생산량:조곡 (톤)",7970330,7030,19646,22943,12310,-,-,-,-,1067222,326690,516998,1255441,1181151,1424350,1211688,918730,6131
"1984","논벼:면적 (ha)",1224675,1302,3356,3991,2116,-,-,-,-,175223,55849,79447,180162,170674,210566,190261,150778,950
"1984","논벼:10a당 생산량 (kg)",649,538,585,575,581,-,-,-,-,608,584,650,695,690,675,636,608,537
"1984","논벼:조곡:생산량 (톤)",7954127,7007,19646,22940,12290,-,-,-,-,1065647,326433,516303,1252710,1177700,1420483,1210481,917386,5101
"1984","밭벼:면적 (ha)",6186,9,-,1,8,-,-,-,-,625,88,228,986,1403,1338,442,634,424
"1984","밭벼:10a당 생산량 (kg)",262,252,-,273,252,-,-,-,-,252,292,305,277,246,289,273,212,243
"1984","밭벼:조곡:생산량 (톤)",16203,23,-,3,20,-,-,-,-,1575,257,695,2731,3451,3867,1207,1344,1030
"1985","합계:면적 (ha)",1236768,1214,3322,3870,2345,-,-,-,-,176882,55863,79281,182106,175368,213968,189909,151482,1158
"1985","합계:생산량:조곡 (톤)",7855262,6656,18966,21015,13555,-,-,-,-,1020434,327841,521261,1251144,1198290,1424838,1187138,858737,5387
"1985","논벼:면적 (ha)",1232924,1214,3322,3870,2344,-,-,-,-,176590,55800,79178,181581,174471,212965,189623,151065,901
"1985","논벼:10a당 생산량 (kg)",636,548,571,543,578,-,-,-,-,577,587,658,688,685,668,626,568,525
"1985","논벼:조곡:생산량 (톤)",7844286,6656,18966,21015,13552,-,-,-,-,1019613,327698,520927,1249747,1195572,1421719,1186400,857694,4727
"1985","밭벼:면적 (ha)",3844,-,-,-,1,-,-,-,-,292,63,103,525,897,1003,286,417,257
"1985","밭벼:10a당 생산량 (kg)",286,-,-,-,281,-,-,-,-,281,227,324,266,303,311,258,250,257
"1985","밭벼:조곡:생산량 (톤)",10976,-,-,-,3,-,-,-,-,821,143,334,1397,2718,3119,738,1043,660
"1986","합계:면적 (ha)",1235925,1241,3130,3738,2333,-,-,-,-,175657,55433,78452,184705,175778,216719,187215,150359,1165
"1986","합계:생산량:조곡 (톤)",7871368,7670,15415,21989,13862,-,-,-,-,1072886,319291,503493,1241573,1238348,1373348,1180426,878876,4191
"1986","논벼:면적 (ha)",1232679,1241,3130,3738,2333,-,-,-,-,175530,55406,78394,184414,175186,215650,187031,149903,723
"1986","논벼:10a당 생산량 (kg)",638,618,492,588,594,-,-,-,-,611,576,642,673,706,635,631,585,437
"1986","논벼:조곡:생산량 (톤)",7862458,7670,15415,21989,13862,-,-,-,-,1072485,319221,503319,1240869,1236608,1370259,1179946,877658,3157
"1986","밭벼:면적 (ha)",3246,-,-,-,-,-,-,-,-,127,27,58,291,592,1069,184,456,442
"1986","밭벼:10a당 생산량 (kg)",274,-,-,-,-,-,-,-,-,316,258,300,242,294,289,261,267,234
"1986","밭벼:조곡:생산량 (톤)",8910,-,-,-,-,-,-,-,-,401,70,174,704,1740,3089,480,1218,1034
"1987","합계:면적 (ha)",1262324,1469,3401,3662,2208,3286,-,-,-,185351,62030,77310,184996,173398,211514,194577,157917,1205
"1987","합계:생산량:조곡 (톤)",7595760,7495,17072,21943,12031,20465,-,-,-,1041362,359797,502186,1152666,1155612,1239167,1196050,865009,4905
"1987","논벼:면적 (ha)",1259141,1469,3399,3662,2208,3270,-,-,-,185134,61990,77250,184646,172844,210514,194369,157590,796
"1987","논벼:10a당 생산량 (kg)",602,510,502,599,545,623,-,-,-,562,580,650,624,668,587,615,548,493
"1987","논벼:조곡:생산량 (톤)",7585855,7495,17066,21943,12031,20384,-,-,-,1040737,359692,502007,1151773,1153933,1235307,1195480,864080,3927
"1987","밭벼:면적 (ha)",3183,-,2,-,-,16,-,-,-,217,40,60,350,554,1000,208,327,409
"1987","밭벼:10a당 생산량 (kg)",311,-,284,-,-,508,-,-,-,288,262,299,255,303,386,274,284,239
"1987","밭벼:조곡:생산량 (톤)",9905,-,6,-,-,81,-,-,-,625,105,179,893,1679,3860,570,929,978
"1988","합계:면적 (ha)",1260129,1322,3350,3608,2314,12550,-,-,-,182602,61083,76555,188421,176329,203623,190717,156744,911
"1988","합계:생산량:조곡 (톤)",8260162,8023,18258,21567,13781,93559,-,-,-,1109816,334988,504069,1317944,1280583,1423245,1184414,944894,5021
"1988","논벼:면적 (ha)",1257158,1320,3348,3606,2311,12506,-,-,-,182433,61049,76504,188091,175874,202519,190490,156352,755
"1988","논벼:10a당 생산량 (kg)",656,608,545,598,596,747,-,-,-,608,549,659,700,728,701,621,604,606
"1988","논벼:조곡:생산량 (톤)",8251154,8019,18252,21562,13775,93365,-,-,-,1109502,334909,503912,1317122,1279546,1418984,1183826,943804,4576
"1988","밭벼:면적 (ha)",2971,2,2,2,3,44,-,-,-,169,34,51,330,455,1104,227,392,156
"1988","밭벼:10a당 생산량 (kg)",303,186,278,259,186,440,-,-,-,186,231,308,249,228,386,259,278,285
"1988","밭벼:조곡:생산량 (톤)",9008,4,6,5,6,194,-,-,-,314,79,157,822,1037,4261,588,1090,445
"1989","합계:면적 (ha)",1256661,1269,5491,3494,4764,12239,5133,-,-,180256,60883,76157,182470,176956,203721,189927,152958,943
"1989","합계:생산량:조곡 (톤)",8099953,8045,30526,19860,29823,76171,32597,-,-,1147913,386104,487582,1242681,1249879,1270833,1215083,898140,4716
"1989","논벼:면적 (ha)",1254231,1269,5483,3490,4764,12214,5110,-,-,180180,60841,76125,182306,176743,202629,189741,152671,665
"1989","논벼:10a당 생산량 (kg)",645,634,556,569,626,623,636,-,-,637,634,640,689,707,625,640,588,589
"1989","논벼:조곡:생산량 (톤)",8092029,8045,30505,19849,29823,76093,32518,-,-,1147623,385951,487489,1242263,1249323,1266694,1214553,897385,3915
"1989","밭벼:면적 (ha)",2430,-,8,4,-,25,23,-,-,76,42,32,164,213,1092,186,287,278
"1989","밭벼:10a당 생산량 (kg)",326,-,263,285,-,311,343,-,-,382,365,290,255,261,379,285,263,288
"1989","밭벼:조곡:생산량 (톤)",7924,-,21,11,-,78,79,-,-,290,153,93,418,556,4139,530,755,801
"1990","합계:면적 (ha)",1244341,1178,5473,3066,4523,12281,4722,-,-,175094,60620,75722,182504,176915,203507,188004,149935,797
"1990","합계:생산량:조곡 (톤)",7721968,6091,31790,18380,23384,85046,29147,-,-,947932,325400,447950,1191521,1213904,1318526,1171415,907713,3769
"1990","논벼:면적 (ha)",1241803,1178,5472,3064,4523,12224,4701,-,-,175040,60545,75683,182358,176685,202355,187780,149644,551
"1990","논벼:10a당 생산량 (kg)",621,517,581,600,517,694,619,-,-,541,537,592,661,687,649,624,606,555
"1990","논벼:조곡:생산량 (톤)",7713654,6091,31788,18375,23384,84848,29087,-,-,947787,325288,447822,1191134,1213230,1313906,1170864,906994,3056
"1990","밭벼:면적 (ha)",2538,-,1,2,-,57,21,-,-,54,75,39,146,230,1152,224,291,246
"1990","밭벼:10a당 생산량 (kg)",328,-,247,246,-,348,288,-,-,269,149,327,265,293,401,246,247,290
"1990","밭벼:조곡:생산량 (톤)",8314,-,2,5,-,198,60,-,-,145,112,128,387,674,4620,551,719,713
"1991","합계:면적 (ha)",1208455,959,5320,2519,4204,11518,4114,-,-,168898,58270,73341,180984,174340,200590,178524,144317,557
"1991","합계:생산량:조곡 (톤)",7292534,5244,28609,13785,24014,69759,23925,-,-,975013,331050,431704,1162857,1168005,1214128,1036947,804895,2599
"1991","논벼:면적 (ha)",1206613,959,5320,2512,4204,11496,4110,-,-,168832,58205,73297,180877,174218,199616,178359,144151,457
"1991","논벼:10a당 생산량 (kg)",604,547,538,548,571,606,582,-,-,577,568,589,652,670,607,581,558,505
"1991","논벼:조곡:생산량 (톤)",7286598,5244,28609,13766,24014,69699,23913,-,-,974866,330858,431548,1162552,1167572,1210680,1036490,804478,2309
"1991","밭벼:면적 (ha)",1842,-,-,7,-,22,4,-,-,66,65,44,107,122,974,165,166,100
"1991","밭벼:10a당 생산량 (kg)",322,-,-,277,-,274,303,-,-,223,296,354,285,355,354,277,251,290
"1991","밭벼:조곡:생산량 (톤)",5936,-,-,19,-,60,12,-,-,147,192,156,305,433,3448,457,417,290
"1992","합계:면적 (ha)",1156885,903,4862,2016,4108,10538,3841,-,-,162834,55404,69515,176983,169306,195794,165064,135378,339
"1992","합계:생산량:조곡 (톤)",7256894,5451,27516,11411,24733,60925,24220,-,-,1022487,325622,424675,1148740,1181850,1198760,1018133,780739,1632
"1992","논벼:면적 (ha)",1155645,902,4861,2016,4108,10534,3836,-,-,162793,55359,69487,176946,169253,195083,164968,135240,259
"1992","논벼:10a당 생산량 (kg)",628,604,566,566,602,578,631,-,-,628,588,611,659,698,613,617,577,529
"1992","논벼:조곡:생산량 (톤)",7253061,5448,27513,11411,24733,60913,24205,-,-,1022357,325511,424570,1148630,1181683,1196506,1017871,780340,1370
"1992","밭벼:면적 (ha)",1240,1,1,-,-,4,5,-,-,41,45,28,37,53,711,96,138,80
"1992","밭벼:10a당 생산량 (kg)",309,318,289,-,-,295,296,-,-,318,246,374,296,316,317,273,289,328
"1992","밭벼:조곡:생산량 (톤)",3833,3,3,-,-,12,15,-,-,130,111,105,110,167,2254,262,399,262
"1993","합계:면적 (ha)",1135812,861,4822,1916,4041,10188,3768,-,-,160369,53717,67012,174564,166966,194757,160170,132402,259
"1993","합계:생산량:조곡 (톤)",6403875,5330,25653,9213,25095,55722,22395,-,-,970165,224460,382630,1088474,1113903,1105162,736556,637952,1165
"1993","논벼:면적 (ha)",1134943,861,4822,1915,4041,10185,3761,-,-,160343,53685,67002,174548,166911,194271,160076,132300,222
"1993","논벼:10a당 생산량 (kg)",564,619,532,481,621,547,595,-,-,605,418,571,631,667,568,460,482,481
"1993","논벼:조곡:생산량 (톤)",6401200,5330,25653,9211,25095,55712,22378,-,-,970075,224403,382581,1088436,1113717,1103505,736350,637686,1068
"1993","밭벼:면적 (ha)",869,0,0,1,0,3,7,-,-,26,32,10,16,55,486,94,102,37
"1993","밭벼:10a당 생산량 (kg)",308,0,0,219,0,341,236,-,-,346,179,487,236,339,341,219,261,261
"1993","밭벼:조곡:생산량 (톤)",2675,0,0,2,0,10,17,-,-,90,57,49,38,186,1657,206,266,97
"1994","합계:면적 (ha)",1102608,761,4543,1765,3864,9879,3450,-,-,154965,50958,64340,170758,163709,195383,151159,126788,286
"1994","합계:생산량:조곡 (톤)",6826167,4475,27122,10149,23300,60128,22356,-,-,931271,297919,388562,1088499,1100055,1200335,929230,741431,1335
"1994","논벼:면적 (ha)",1101678,761,4543,1765,3864,9868,3450,-,-,154940,50916,64318,170745,163648,194887,151058,126705,210
"1994","논벼:10a당 생산량 (kg)",619,588,597,575,603,609,648,-,-,601,585,604,651,672,615,615,585,513
"1994","논벼:조곡:생산량 (톤)",6823544,4475,27122,10149,23300,60096,22356,-,-,931190,297859,388481,1088457,1099864,1198887,929007,741224,1077
"1994","밭벼:면적 (ha)",930,0,0,0,0,11,0,-,-,25,42,22,13,61,496,101,83,76
"1994","밭벼:10a당 생산량 (kg)",282,0,0,0,0,292,0,-,-,324,144,370,320,313,292,221,249,339
"1994","밭벼:조곡:생산량 (톤)",2623,0,0,0,0,32,0,-,-,81,60,81,42,191,1448,223,207,258
"1995","합계:면적 (ha)",1055868,683,5956,5809,19266,9117,3054,-,-,131357,48439,60147,167464,158459,192306,135233,118435,143
"1995","합계:생산량:조곡 (톤)",6388773,3763,34783,33925,115981,55327,18721,-,-,750012,256679,363877,995540,1034638,1174992,838227,711527,781
"1995","논벼:면적 (ha)",1055337,683,5956,5809,19266,9113,3054,-,-,131340,48424,60142,167432,158429,192031,135169,118346,143
"1995","논벼:10a당 생산량 (kg)",605,551,584,584,602,607,613,-,-,571,530,605,610,653,615,620,601,546
"1995","논벼:조곡:생산량 (톤)",6387301,3763,34783,33925,115981,55316,18721,-,-,749951,256647,363859,995477,1034541,1174249,838048,711259,781
"1995","밭벼:면적 (ha)",531,0,0,0,0,4,0,-,-,17,15,5,32,30,275,64,89,0
"1995","밭벼:10a당 생산량 (kg)",277,0,0,0,0,270,0,-,-,360,215,359,198,324,270,280,301,0
"1995","밭벼:조곡:생산량 (톤)",1472,0,0,0,0,11,0,-,-,61,32,18,63,97,743,179,268,0
"1996","합계:면적 (ha)",1049556,687,5572,6096,18345,9063,3030,-,-,125225,46770,60202,172043,152793,200222,134769,114572,167
"1996","합계:생산량:조곡 (톤)",7122866,4403,37133,39058,125299,60201,20884,-,-,822617,291365,398909,1202034,1091688,1372188,897369,758866,852
"1996","논벼:면적 (ha)",1048987,687,5572,6096,18345,9060,3029,-,-,125200,46762,60195,172030,152779,199877,134737,114492,126
"1996","논벼:10a당 생산량 (kg)",679,641,666,641,683,664,689,-,-,657,623,663,706,715,690,666,663,612
"1996","논벼:조곡:생산량 (톤)",7121421,4403,37133,39058,125299,60193,20881,-,-,822546,291317,398886,1201999,1091646,1371288,897293,758708,771
"1996","밭벼:면적 (ha)",569,0,0,0,0,3,1,-,-,25,8,7,13,14,345,32,80,41
"1996","밭벼:10a당 생산량 (kg)",254,0,0,0,0,261,270,-,-,282,606,331,270,300,261,239,197,197
"1996","밭벼:조곡:생산량 (톤)",1445,0,0,0,0,8,3,-,-,71,48,23,35,42,900,76,158,81
"1997","합계:면적 (ha)",1052395,658,5419,6101,17701,8606,2909,-,-,123617,46900,59892,173936,153705,202375,136713,113734,129
"1997","합계:생산량:조곡 (톤)",7314885,3930,36757,39192,118943,58340,20495,-,-,828669,306429,408238,1266732,1103372,1455612,929676,737735,765
"1997","논벼:면적 (ha)",1051659,647,5419,6101,17698,8595,2902,-,-,123600,46890,59858,173934,153683,201917,136655,113631,129
"1997","논벼:10a당 생산량 (kg)",695,600,678,642,672,678,705,-,-,670,653,682,750,718,721,680,649,593
"1997","논벼:조곡:생산량 (톤)",7312096,3885,36757,39192,118931,58298,20472,-,-,828600,306370,408118,1266726,1103285,1453858,929481,737358,765
"1997","밭벼:면적 (ha)",736,11,0,0,3,11,7,-,-,17,10,34,2,22,458,58,103,0
"1997","밭벼:10a당 생산량 (kg)",379,405,0,0,405,383,322,-,-,405,588,354,322,395,383,336,366,0
"1997","밭벼:조곡:생산량 (톤)",2789,45,0,0,12,42,23,-,-,69,59,120,6,87,1754,195,377,0
"1998","합계:면적 (ha)",1058927,682,5683,6178,17554,8555,2880,9043,-,122711,47127,60278,174502,153937,206702,137727,105235,133
"1998","합계:생산량:조곡 (톤)",6790125,3734,32752,33196,114649,53656,18995,51938,-,781015,285491,384454,1175300,1046211,1351664,819791,636490,789
"1998","논벼:면적 (ha)",1056483,682,5683,6178,17554,8533,2880,9042,-,122674,47086,60260,174488,153841,204747,137625,105080,130
"1998","논벼:10a당 생산량 (kg)",642,548,576,537,653,628,660,574,-,637,606,638,689,680,657,595,605,598
"1998","논벼:조곡:생산량 (톤)",6779290,3734,32752,33196,114649,53574,18995,51935,-,780857,285326,384390,1175254,1045805,1342554,819458,636033,778
"1998","밭벼:면적 (ha)",2444,0,0,0,0,22,0,1,-,37,41,18,14,96,1955,102,155,3
"1998","밭벼:10a당 생산량 (kg)",443,0,0,0,0,371,0,277,-,428,403,353,328,423,466,326,295,379
"1998","밭벼:조곡:생산량 (톤)",10835,0,0,0,0,82,0,3,-,158,165,64,46,406,9110,333,457,11
"1999","합계:면적 (ha)",1066203,680,5593,6170,17545,8867,2948,8844,-,123102,46883,60368,175042,154257,211408,139217,105108,171
"1999","합계:생산량:조곡 (톤)",7065900,3915,35819,36770,116728,54777,20818,55174,-,821084,299391,415592,1240625,1098726,1336428,895897,633269,887
"1999","논벼:면적 (ha)",1058555,680,5593,6170,17526,8788,2948,8841,-,122973,46800,60333,174956,153921,204980,139005,104903,138
"1999","논벼:10a당 생산량 (kg)",664,576,640,596,666,620,706,624,-,667,639,689,737,713,638,644,603,585
"1999","논벼:조곡:생산량 (톤)",7032751,3915,35819,36770,116648,54442,20818,55167,-,820543,299071,415421,1240306,1097409,1307888,895155,632572,807
"1999","밭벼:면적 (ha)",7648,0,0,0,19,79,0,3,-,129,83,35,86,336,6428,212,205,33
"1999","밭벼:10a당 생산량 (kg)",433,0,0,0,419,424,0,240,-,419,385,488,371,392,444,350,340,243
"1999","밭벼:조곡:생산량 (톤)",33149,0,0,0,80,335,0,7,-,541,320,171,319,1317,28540,742,697,80
"2000","합계:면적 (ha)",1072363,675,5507,5873,17155,8950,2888,8880,-,121829,47277,60040,175109,154433,219385,139932,104225,205
"2000","합계:생산량:조곡 (톤)",7196582,4349,34820,36637,112649,56731,19320,55251,-,787227,308049,422406,1265588,1084283,1445668,918042,644538,1024
"2000","논벼:면적 (ha)",1055034,675,5502,5869,17147,8773,2888,8849,-,121657,47166,59938,174774,153399,205057,139413,103793,134
"2000","논벼:10a당 생산량 (kg)",675,644,633,624,657,637,669,623,-,647,652,704,748,704,676,657,620,613
"2000","논벼:조곡:생산량 (톤)",7124773,4349,34806,36623,112618,55901,19320,55162,-,786567,307646,421963,1264335,1080261,1384917,916189,643294,822
"2000","밭벼:면적 (ha)",17329,0,5,4,8,177,0,31,-,172,111,102,335,1034,14328,519,432,71
"2000","밭벼:10a당 생산량 (kg)",414,0,288,357,384,469,0,288,-,384,363,434,374,389,424,357,288,284
"2000","밭벼:조곡:생산량 (톤)",71809,0,14,14,31,830,0,89,-,660,403,443,1253,4022,60751,1853,1244,202
"2001","합계:면적 (ha)",1083125,683,5452,5980,17444,8967,2803,8891,-,121312,47032,60237,175669,155125,225666,142456,104764,644
"2001","합계:생산량:조곡 (톤)",7406517,4308,35979,39742,110016,60670,20114,58691,-,794151,313154,423581,1281660,1127679,1456236,976337,701507,2692
"2001","논벼:면적 (ha)",1055750,683,5435,5940,17406,8667,2797,8800,-,120942,46800,60013,175073,153297,204602,141341,103827,127
"2001","논벼:10a당 생산량 (kg)",693,631,661,667,631,686,718,663,-,656,667,704,742,730,679,689,672,666
"2001","논벼:조곡:생산량 (톤)",7316216,4308,35919,39649,109879,59476,20090,58379,-,792819,312333,422584,1279270,1119252,1389463,973750,698199,846
"2001","밭벼:면적 (ha)",27375,0,17,40,38,300,6,91,-,370,232,224,596,1828,21064,1115,937,517
"2001","밭벼:10a당 생산량 (kg)",330,0,353,232,360,398,401,343,-,360,354,445,401,461,317,232,353,357
"2001","밭벼:조곡:생산량 (톤)",90301,0,60,93,137,1194,24,312,-,1332,821,997,2390,8427,66773,2587,3308,1846
