"시점","항목",계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
"2002","합계:면적 (ha)",1053186,655,5299,5739,16813,8855,2636,8552,-,118496,46687,58913,172977,152384,212967,139269,102286,658
"2002","합계:생산량:조곡 (톤)",6687225,4141,30621,33765,117170,52936,17391,53130,-,767500,282245,389152,1187897,1006379,1251805,895834,595014,2245
"2002","논벼:면적 (ha)",1038577,655,5286,5719,16767,8629,2636,8481,-,118130,46460,58778,172531,151127,202925,138673,101666,114
"2002","논벼:10a당 생산량 (kg)",639,632,579,589,698,604,660,624,-,649,606,661,697,663,599,645,584,567
"2002","논벼:조곡:생산량 (톤)",6636348,4141,30588,33705,117037,52122,17391,52907,-,766442,281553,388565,1186033,1001665,1216055,894034,593464,646
"2002","밭벼:면적 (ha)",14609,0,13,20,46,226,0,71,-,366,227,135,446,1257,10042,596,620,544
"2002","밭벼:10a당 생산량 (kg)",348,0,250,302,289,360,0,314,-,289,305,435,418,375,356,302,250,294
"2002","밭벼:조곡:생산량 (톤)",50877,0,33,60,133,814,0,223,-,1058,692,587,1864,4714,35750,1800,1550,1599
"2003","합계:면적 (ha)",1016030,572,4888,5273,16508,8159,2422,8053,-,114691,44952,56686,169907,148505,204357,134278,96031,748
"2003","합계:생산량:조곡 (톤)",6151202,3518,25552,26543,110595,47013,15066,40736,-,699421,271560,342593,1113923,926917,1205052,780888,538970,2855
"2003","논벼:면적 (ha)",1001519,572,4887,5243,16477,7962,2421,7995,-,114372,44719,56592,169428,147411,194158,133829,95368,85
"2003","논벼:10a당 생산량 (kg)",609,615,523,505,671,581,622,508,-,611,606,605,661,626,602,583,564,566
"2003","논벼:조곡:생산량 (톤)",6101746,3518,25550,26460,110493,46294,15062,40608,-,698368,270947,342269,1111825,923318,1169355,779653,537545,481
"2003","밭벼:면적 (ha)",14511,0,1,30,31,197,1,58,-,319,233,94,479,1094,10199,449,663,663
"2003","밭벼:10a당 생산량 (kg)",341,0,215,275,330,365,438,221,-,330,263,345,438,329,350,275,215,358
"2003","밭벼:조곡:생산량 (톤)",49456,0,2,83,102,719,4,128,-,1053,613,324,2098,3599,35697,1235,1425,2374
"2004","합계:면적 (ha)",1001159,479,4609,4923,16478,8113,2343,7691,-,111093,43838,55232,168336,146598,204401,132085,93869,1071
"2004","합계:생산량:조곡 (톤)",6736925,3061,29684,31839,111741,52485,15971,49139,-,725518,276378,365323,1207975,1053034,1304617,889977,615791,4392
"2004","논벼:면적 (ha)",983560,479,4605,4891,16433,7853,2343,7629,-,110766,43646,55045,167878,145286,191849,131628,93168,61
"2004","논벼:10a당 생산량 (kg)",679,639,644,649,679,661,682,642,-,654,632,663,723,722,659,675,659,626
"2004","논벼:조곡:생산량 (톤)",6680137,3061,29674,31744,111609,51923,15971,48973,-,724557,275767,364712,1206051,1048429,1264576,888620,614088,382
"2004","밭벼:면적 (ha)",17599,0,4,32,45,260,0,62,-,327,192,187,458,1312,12552,457,701,1010
"2004","밭벼:10a당 생산량 (kg)",323,0,243,297,294,216,0,268,-,294,318,327,420,351,319,297,243,397
"2004","밭벼:조곡:생산량 (톤)",56788,0,10,95,132,562,0,166,-,961,611,611,1924,4605,40041,1357,1703,4010
"2005","합계:면적 (ha)",979717,455,4613,4776,16200,7619,2280,7537,-,108106,43964,53488,166573,144091,199366,127826,91615,1208
"2005","합계:생산량:조곡 (톤)",6434972,2899,28971,30580,107127,46427,15286,45310,-,696740,285072,348024,1169034,965193,1252038,853943,584186,4142
"2005","논벼:면적 (ha)",966838,455,4610,4755,16181,7509,2280,7484,-,107860,43814,53417,166166,143399,190090,127490,91277,51
"2005","논벼:10a당 생산량 (kg)",661,637,628,642,662,612,670,603,-,645,650,651,705,671,640,669,639,590
"2005","논벼:조곡:생산량 (톤)",6386843,2899,28962,30516,107061,45972,15286,45128,-,695889,284644,347763,1167235,962550,1216604,852915,583118,301
"2005","밭벼:면적 (ha)",12879,0,3,21,19,110,0,53,-,246,150,71,407,692,9276,336,338,1157
"2005","밭벼:10a당 생산량 (kg)",374,0,316,306,346,414,0,344,-,346,285,367,442,382,382,306,316,332
"2005","밭벼:조곡:생산량 (톤)",48129,0,9,64,66,455,0,182,-,851,428,261,1799,2643,35434,1028,1068,3841
"2006","합계:면적 (ha)",955229,511,4192,4764,14806,6943,1958,7033,-,103281,42286,51744,163398,142466,195161,124537,91222,927
"2006","합계:생산량:조곡 (톤)",6305492,3244,26809,30170,91278,45095,13128,43897,-,663899,259055,333509,1160538,997875,1215495,830729,587397,3375
"2006","논벼:면적 (ha)",945403,511,4186,4757,14785,6842,1958,7026,-,103124,42205,51650,163117,141993,187880,124294,91032,43
"2006","논벼:10a당 생산량 (kg)",664,635,640,634,617,655,670,625,-,643,613,645,711,702,635,668,645,612
"2006","논벼:조곡:생산량 (톤)",6274836,3244,26796,30155,91238,44817,13128,43884,-,663514,258832,333242,1159740,996333,1192705,829961,586985,263
"2006","밭벼:면적 (ha)",9826,0,6,7,21,101,0,7,-,157,81,94,281,473,7281,243,190,884
"2006","밭벼:10a당 생산량 (kg)",312,0,217,216,192,275,0,186,-,245,275,284,284,326,313,316,217,352
"2006","밭벼:조곡:생산량 (톤)",30656,0,13,15,40,278,0,13,-,385,223,267,798,1542,22790,768,412,3112
"2007","합계:면적 (ha)",950250,482,4157,4601,14474,6640,1939,7053,-,101207,41876,50747,162632,143159,193064,125335,91821,1063
"2007","합계:생산량:조곡 (톤)",5961693,2864,26112,28444,87699,41262,12499,41381,-,624167,255852,311784,1100350,935636,1120100,802994,566748,3801
"2007","논벼:면적 (ha)",942223,482,4156,4599,14451,6550,1939,7049,-,101095,41824,50702,162408,142804,187321,125131,91677,35
"2007","논벼:10a당 생산량 (kg)",630,594,628,618,607,626,645,587,-,617,611,615,677,654,588,641,618,550
"2007","논벼:조곡:생산량 (톤)",5934403,2864,26109,28438,87649,40978,12499,41371,-,623796,255654,311650,1099364,934326,1100861,802333,566319,192
"2007","밭벼:면적 (ha)",8027,0,1,2,23,90,0,4,-,112,52,45,224,355,5743,204,144,1028
"2007","밭벼:10a당 생산량 (kg)",340,0,298,303,220,316,0,253,-,331,380,298,440,369,335,324,298,351
"2007","밭벼:조곡:생산량 (톤)",27290,0,3,6,51,284,0,10,-,371,198,134,986,1310,19239,661,429,3608
"2008","합계:면적 (ha)",935766,502,4112,3977,13778,6516,1916,6690,-,100005,40891,48967,162439,141530,189231,123848,90419,945
"2008","합계:생산량:조곡 (톤)",6468281,3380,28952,27986,93564,42617,12491,44372,-,673211,265328,332750,1190969,1025601,1219126,874867,629209,3858
"2008","논벼:면적 (ha)",927995,502,4112,3976,13778,6442,1916,6667,-,99939,40806,48802,162244,141161,183630,123678,90310,32
"2008","논벼:10a당 생산량 (kg)",694,673,704,704,679,658,652,664,-,673,650,681,734,726,654,707,696,642
"2008","논벼:조곡:생산량 (톤)",6441875,3380,28952,27983,93564,42371,12491,44290,-,672983,265056,332231,1190212,1024127,1200718,874367,628946,205
"2008","밭벼:면적 (ha)",7771,0,0,1,0,74,0,23,-,66,85,165,195,369,5601,170,109,913
"2008","밭벼:10a당 생산량 (kg)",340,0,0,294,0,333,0,355,-,347,320,314,388,399,329,294,242,400
"2008","밭벼:조곡:생산량 (톤)",26406,0,0,3,0,246,0,82,-,229,272,518,758,1474,18408,500,264,3653
"2009","합계:면적 (ha)",924471,286,4112,3479,13256,6581,1837,6498,-,98973,40540,48327,161160,138631,187533,122616,89309,1333
"2009","합계:생산량:조곡 (톤)",6502249,1837,26654,25297,82566,42900,12707,40814,-,662121,280088,335655,1209551,1062077,1211921,893974,608422,5665
"2009","논벼:면적 (ha)",917990,286,4112,3477,13256,6528,1837,6480,-,98934,40420,48257,160952,138445,183359,122441,89181,25
"2009","논벼:10a당 생산량 (kg)",706,642,648,727,623,654,692,629,-,669,692,695,751,767,653,730,682,650
"2009","논벼:조곡:생산량 (톤)",6477922,1837,26654,25289,82566,42718,12707,40777,-,661996,279723,335448,1208793,1061346,1196518,893329,608059,162
"2009","밭벼:면적 (ha)",6481,0,0,2,0,53,0,18,-,39,120,70,208,186,4174,175,128,1308
"2009","밭벼:10a당 생산량 (kg)",375,0,0,369,0,344,0,207,-,319,304,296,365,393,369,369,284,421
"2009","밭벼:조곡:생산량 (톤)",24327,0,0,7,0,182,0,37,-,125,365,207,759,731,15403,645,363,5503
"2010","합계:면적 (ha)",892074,267,3644,3218,12590,6223,1628,6365,-,95970,38863,46826,156589,134355,183804,116596,84017,1119
"2010","합계:생산량:조곡 (톤)",5810817,1569,22575,20963,74757,38707,10724,38257,-,563718,236320,302888,1079651,931203,1144878,801174,539325,4107
"2010","논벼:면적 (ha)",886516,267,3644,3217,12588,6182,1628,6341,-,95894,38809,46758,156456,134123,180163,116472,83950,24
"2010","논벼:10a당 생산량 (kg)",653,588,620,652,594,624,659,602,-,588,609,647,690,694,628,687,642,496
"2010","논벼:조곡:생산량 (톤)",5791329,1569,22575,20959,74752,38565,10724,38190,-,563526,236193,302690,1079178,930464,1131964,800724,539137,119
"2010","밭벼:면적 (ha)",5558,0,0,1,2,41,0,24,-,76,54,68,133,232,3641,124,67,1095
"2010","밭벼:10a당 생산량 (kg)",351,0,0,363,253,345,0,281,-,253,235,292,355,319,355,363,281,364
"2010","밭벼:조곡:생산량 (톤)",19488,0,0,4,5,141,0,68,-,192,127,199,473,739,12915,450,188,3988
"2011","합계:면적 (ha)",853823,268,3346,2894,12294,5999,1503,6217,-,91727,35955,44504,152947,130696,174930,110550,79563,430
"2011","합계:생산량:조곡 (톤)",5615916,1560,21110,18950,67713,37455,9857,39381,-,533740,226312,291862,1065634,910069,1104046,764086,522492,1650
"2011","논벼:면적 (ha)",850798,268,3346,2890,12294,5952,1503,6213,-,91689,35914,44480,152861,130549,172842,110458,79522,17
"2011","논벼:10a당 생산량 (kg)",659,582,631,655,551,627,656,634,-,582,630,656,697,697,635,691,657,573
"2011","논벼:조곡:생산량 (톤)",5605354,1560,21110,18936,67713,37319,9857,39368,-,533614,226182,291788,1065331,909556,1096798,763759,522365,97
"2011","밭벼:면적 (ha)",3025,0,0,4,0,47,0,4,-,38,41,24,86,147,2088,92,41,413
"2011","밭벼:10a당 생산량 (kg)",349,0,0,356,0,289,0,308,-,332,317,307,353,349,347,356,308,376
"2011","밭벼:조곡:생산량 (톤)",10563,0,0,14,0,136,0,12,-,126,130,74,303,512,7249,327,126,1552
"2012","합계:면적 (ha)",849172,267,3309,2981,12007,5603,1526,5841,-,90824,34806,43254,153091,130351,173283,111505,80002,522
"2012","합계:생산량:조곡 (톤)",5405155,1622,21586,19856,78325,36248,10100,36553,-,551399,218209,287917,1053257,851577,955094,763718,518177,1517
"2012","논벼:면적 (ha)",846870,267,3309,2976,12007,5576,1526,5838,-,90753,34772,43245,153056,130260,171872,111459,79940,14
"2012","논벼:10a당 생산량 (kg)",638,607,652,667,652,649,662,626,-,607,627,666,688,654,554,685,648,478
"2012","논벼:조곡:생산량 (톤)",5399193,1622,21586,19838,78325,36183,10100,36546,-,551194,218121,287894,1053153,851309,951659,763552,518043,67
"2012","밭벼:면적 (ha)",2302,0,0,5,0,27,0,3,-,71,34,9,35,91,1411,46,62,508
"2012","밭벼:10a당 생산량 (kg)",259,0,0,359,0,241,0,216,-,289,259,252,299,294,243,359,216,286
"2012","밭벼:조곡:생산량 (톤)",5962,0,0,18,0,65,0,6,-,205,88,23,105,268,3435,165,134,1451
"2013","합계:면적 (ha)",832625,249,3255,3165,11695,5512,1398,5703,-,88949,33968,42893,151814,126799,170690,108501,77732,302
"2013","합계:생산량:조곡 (톤)",5631689,1491,22096,20917,71449,36096,9434,37580,-,532511,211517,291499,1093941,908124,1107156,764106,522574,1199
"2013","논벼:면적 (ha)",831355,249,3255,3160,11694,5500,1398,5702,-,88916,33947,42892,151767,126771,169918,108479,77695,12
"2013","논벼:10a당 생산량 (kg)",677,599,679,662,611,656,675,659,-,599,623,680,721,716,650,704,672,520
"2013","논벼:조곡:생산량 (톤)",5627837,1491,22096,20904,71447,36081,9434,37578,-,532436,211461,291495,1093754,908061,1104995,764050,522492,62
"2013","밭벼:면적 (ha)",1270,0,0,5,1,12,0,1,-,33,21,1,47,28,772,22,37,290
"2013","밭벼:10a당 생산량 (kg)",303,0,0,255,227,126,0,220,-,227,265,398,398,225,280,255,220,392
"2013","밭벼:조곡:생산량 (톤)",3853,0,0,13,2,15,0,2,-,75,56,4,187,63,2161,56,82,1137
"2014","합계:면적 (ha)",815506,306,3056,2974,11080,5489,1312,5476,-,86472,33126,40653,148684,124089,169585,106832,76158,214
"2014","합계:생산량:조곡 (톤)",5637682,1985,20509,20132,76446,35979,8925,36839,-,560916,237673,284728,1106660,895962,1083281,768584,498209,854
"2014","논벼:면적 (ha)",814334,306,3056,2966,11080,5484,1312,5475,-,86457,33107,40653,148665,124049,168763,106815,76134,12
"2014","논벼:10a당 생산량 (kg)",692,649,671,678,690,656,680,673,-,649,718,700,744,722,640,719,654,553
"2014","논벼:조곡:생산량 (톤)",5633161,1985,20509,20107,76446,35961,8925,36836,-,560887,237614,284728,1106601,895838,1079987,768531,498139,66
"2014","밭벼:면적 (ha)",1172,0,0,8,0,5,0,1,-,15,19,0,19,40,822,17,24,202
"2014","밭벼:10a당 생산량 (kg)",386,0,0,309,0,356,0,293,-,191,313,0,308,312,401,309,293,390
"2014","밭벼:조곡:생산량 (톤)",4520,0,0,25,0,18,0,3,-,29,59,0,58,125,3294,53,70,787
"2015","합계:면적 (ha)",799344,307,2596,2843,10524,5381,1266,5227,-,82071,32300,39786,146319,121765,170185,104712,73934,128
"2015","합계:생산량:조곡 (톤)",5771026,2089,18113,19714,69960,36359,8819,35297,-,558358,233855,285935,1098773,939941,1154088,791802,517280,645
"2015","논벼:면적 (ha)",797957,307,2596,2843,10524,5378,1266,5227,-,82067,32299,39785,146303,121740,169014,104686,73912,10
"2015","논벼:10a당 생산량 (kg)",723,680,698,693,665,676,697,675,-,680,724,719,751,772,680,756,700,683
"2015","논벼:조곡:생산량 (톤)",5765633,2089,18113,19714,69960,36348,8819,35297,-,558348,233852,285932,1098726,939861,1149533,791735,517238,68
"2015","밭벼:면적 (ha)",1387,0,0,0,0,3,0,0,-,4,1,1,16,25,1171,26,22,118
"2015","밭벼:10a당 생산량 (kg)",389,0,0,0,0,360,0,0,-,242,256,294,294,317,389,256,192,488
"2015","밭벼:조곡:생산량 (톤)",5393,0,0,0,0,11,0,0,-,10,3,3,47,79,4556,67,42,576
"2016","합계:면적 (ha)",778734,123,2608,2956,10686,5191,1194,4695,4185,80750,30714,37114,137354,121026,166444,102941,70626,127
"2016","합계:생산량:조곡 (톤)",5624607,840,18259,20395,72470,35416,8271,27923,31085,551464,223479,268669,1039898,926976,1129249,777286,492399,527
"2016","논벼:면적 (ha)",777872,123,2608,2956,10686,5180,1194,4695,4185,80748,30714,37111,137343,121016,165750,102938,70615,10
"2016","논벼:10a당 생산량 (kg)",723,683,700,690,678,683,693,595,743,683,728,724,757,766,680,755,697,591
"2016","논벼:조곡:생산량 (톤)",5621661,840,18259,20395,72470,35366,8271,27923,31085,551459,223479,268662,1039866,926932,1126957,777276,492363,57
"2016","밭벼:면적 (ha)",862,0,0,0,0,11,0,0,0,2,0,3,11,10,694,3,11,117
"2016","밭벼:10a당 생산량 (kg)",342,0,0,0,0,459,0,0,0,238,0,238,287,436,330,322,327,401
"2016","밭벼:조곡:생산량 (톤)",2946,0,0,0,0,50,0,0,0,5,0,7,32,44,2292,10,36,470
"2017","합계:면적 (ha)",754713,131,2383,2970,10419,4988,1109,4102,3970,78484,29710,35069,134035,118340,161442,99551,67895,113
"2017","합계:생산량:조곡 (톤)",5285551,836,16319,20943,69372,33733,7334,26641,28575,500785,200985,239296,959006,873856,1099529,728112,479810,420
"2017","논벼:면적 (ha)",754339,131,2383,2970,10419,4988,1109,4102,3970,78483,29710,35069,134031,118331,161192,99550,67891,8
"2017","논벼:10a당 생산량 (kg)",701,638,685,705,666,676,661,649,720,638,676,682,716,738,682,731,707,554
"2017","논벼:조곡:생산량 (톤)",5284348,836,16319,20943,69372,33733,7334,26641,28575,500782,200984,239296,958996,873828,1098758,728110,479797,45
"2017","밭벼:면적 (ha)",374,0,0,0,0,0,0,0,0,1,0,0,3,9,250,1,4,105
"2017","밭벼:10a당 생산량 (kg)",322,0,0,0,0,0,0,0,0,308,306,306,308,308,308,306,306,358
"2017","밭벼:조곡:생산량 (톤)",1204,0,0,0,0,0,0,0,0,3,0,0,10,29,771,2,13,375
"2018","합계:면적 (ha)",737673,127,2385,2848,10144,5009,1108,4037,3968,78018,29006,33615,133958,114654,154970,98066,65681,81
"2018","합계:생산량:조곡 (톤)",5195437,860,16255,19939,69499,33081,7426,26528,28433,529418,207489,238560,977831,838753,1028706,723532,448846,280
"2018","논벼:면적 (ha)",737408,127,2385,2848,10144,5004,1108,4037,3968,78011,29005,33612,133955,114654,154803,98065,65675,8
"2018","논벼:10a당 생산량 (kg)",704,679,682,700,685,661,670,657,717,679,715,710,730,732,664,738,683,489
"2018","논벼:조곡:생산량 (톤)",5194548,860,16255,19939,69499,33062,7426,26528,28433,529393,207489,238556,977821,838753,1028130,723531,448836,37
"2018","밭벼:면적 (ha)",265,0,0,0,0,5,0,0,0,7,0,3,3,0,166,1,6,73
"2018","밭벼:10a당 생산량 (kg)",336,0,0,0,0,347,0,0,0,347,165,165,347,0,347,165,165,334
"2018","밭벼:조곡:생산량 (톤)",889,0,0,0,0,18,0,0,0,25,0,5,10,0,576,2,10,243
"2019","합계:면적 (ha)",729814,123,2335,2752,10233,5026,1074,3897,3943,76642,28640,33247,132174,112146,154091,97465,65979,45
"2019","합계:생산량:조곡 (톤)",5016083,795,15938,18658,65578,33091,7298,25199,28055,494067,203811,231874,951460,810726,971107,712489,445770,165
"2019","논벼:면적 (ha)",729585,123,2330,2752,10233,5020,1074,3897,3943,76642,28640,33247,132171,112141,153919,97465,65979,8
"2019","논벼:10a당 생산량 (kg)",687,645,683,678,641,659,679,647,711,645,712,697,720,723,631,731,676,302
"2019","논벼:조곡:생산량 (톤)",5015237,795,15917,18658,65578,33065,7298,25199,28055,494067,203811,231874,951450,810717,970471,712489,445769,23
"2019","밭벼:면적 (ha)",229,0,5,0,0,7,0,0,0,0,0,0,2,5,172,0,0,37
"2019","밭벼:10a당 생산량 (kg)",369,0,390,0,0,387,0,0,0,0,0,0,436,183,370,370,370,380
"2019","밭벼:조곡:생산량 (톤)",846,0,21,0,0,26,0,0,0,0,0,0,10,9,636,0,1,142
"2020","합계:면적 (ha)",726432,121,2307,2919,10375,4967,945,3907,3891,75128,28405,32745,131284,110880,156230,97257,65028,43
"2020","합계:생산량:조곡 (톤)",4713162,751,13663,19015,66090,30344,6249,24430,26570,464819,172885,215752,911926,751078,925414,663239,420836,103
"2020","논벼:면적 (ha)",726180,121,2307,2919,10375,4966,945,3907,3891,75127,28405,32745,131279,110875,156026,97255,65028,8
"2020","논벼:10a당 생산량 (kg)",649,619,592,652,637,611,661,625,683,619,609,659,695,677,593,682,647,325
"2020","논벼:조곡:생산량 (톤)",4712266,751,13663,19015,66090,30338,6249,24430,26570,464819,172885,215752,911913,751057,924640,663233,420836,26
"2020","밭벼:면적 (ha)",253,0,0,0,0,1,0,0,0,0,0,0,4,5,204,2,0,35
"2020","밭벼:10a당 생산량 (kg)",355,0,0,0,0,377,0,0,0,295,0,0,295,399,379,224,0,220
"2020","밭벼:조곡:생산량 (톤)",896,0,0,0,0,5,0,0,0,0,0,0,13,21,774,5,0,77
"2021","합계:면적 (ha)",732477,187,2169,2847,11747,4916,1131,3793,3340,74717,28903,33403,135399,114509,155435,95837,64079,65
"2021","합계:생산량:조곡 (톤)",5211037,1270,15296,20333,77025,33833,8070,24994,24534,507448,210844,234293,1029829,807104,1055803,709070,451030,260
"2021","논벼:면적 (ha)",732070,187,2169,2847,11747,4910,1131,3793,3340,74717,28903,33403,135398,114509,155101,95830,64079,6
"2021","논벼:10a당 생산량 (kg)",712,679,705,714,656,689,714,659,735,679,729,701,761,705,680,740,704,536
"2021","논벼:조곡:생산량 (톤)",5209213,1270,15296,20333,77025,33812,8070,24994,24534,507447,210844,234292,1029828,807104,1054261,709044,451030,30
"2021","밭벼:면적 (ha)",407,0,0,0,0,6,0,0,0,0,0,0,1,0,334,7,0,59
"2021","밭벼:10a당 생산량 (kg)",448,0,0,0,288,329,0,0,0,288,0,309,309,0,462,383,0,390
"2021","밭벼:조곡:생산량 (톤)",1823,0,0,0,0,21,0,0,0,1,0,0,2,0,1543,26,0,230
"2022","합계:면적 (ha)",727054,173,2123,2935,11331,5066,1132,3710,3294,73648,28708,33195,133978,113775,154679,94757,64481,70
"2022","합계:생산량:조곡 (톤)",4998223,1142,14299,20831,74275,33195,7726,23738,23009,485151,195440,230977,959289,819346,986762,680835,441901,307
"2022","논벼:면적 (ha)",726654,173,2123,2935,11331,5066,1132,3710,3294,73645,28708,33194,133978,113775,154359,94746,64481,5
"2022","논벼:10a당 생산량 (kg)",688,659,673,710,656,655,682,640,699,659,681,696,716,720,638,719,685,531
"2022","논벼:조곡:생산량 (톤)",4996613,1142,14299,20831,74275,33195,7726,23738,23009,485142,195440,230974,959289,819346,985487,680793,441901,25
"2022","밭벼:면적 (ha)",400,0,0,0,0,0,0,0,0,3,0,1,0,0,320,11,0,66
"2022","밭벼:10a당 생산량 (kg)",402,0,0,0,0,0,0,0,0,308,0,363,0,0,399,371,0,429
"2022","밭벼:조곡:생산량 (톤)",1610,0,0,0,0,0,0,0,0,9,0,3,0,0,1275,42,0,282
"2023","합계:면적 (ha)",708012,189,1927,2914,11141,4620,1108,3495,3156,73187,28335,32341,131643,107383,149878,93252,63437,5
"2023","합계:생산량:조곡 (톤)",4897839,1264,12394,19546,73186,29950,7541,22148,22024,488652,199252,225581,965128,763224,960918,670286,436716,30
"2023","논벼:면적 (ha)",707872,189,1927,2914,11141,4607,1108,3495,3156,73187,28333,32340,131643,107380,149758,93252,63437,5
"2023","논벼:10a당 생산량 (kg)",692,668,643,671,657,649,681,634,698,668,703,698,733,711,641,719,688,589
"2023","논벼:조곡:생산량 (톤)",4897398,1264,12394,19546,73186,29919,7541,22148,22024,488651,199249,225579,965128,763212,960526,670286,436716,30
"2023","밭벼:면적 (ha)",140,0,0,0,0,13,0,0,0,0,2,1,0,4,120,0,0,0
"2023","밭벼:10a당 생산량 (kg)",315,0,0,0,0,236,0,0,0,152,230,152,0,345,326,0,0,0
"2023","밭벼:조곡:생산량 (톤)",441,0,0,0,0,32,0,0,0,0,3,2,0,13,391,0,0,0
